,Prob-level,harm-level,personal,ID,Date,cityName,countryCode,countryName,ipAddress,latitude,longitude,regionName,timeZone,zipCode
0,A not too serious problem,Never,Not at all concerned,17494,2016-03-23 16:25:15,San Jose,US,United States,108.85.46.91,37.3394,-121.895,California,-07:00,95101
1,A not too serious problem,Never,Not at all concerned,17493,2016-03-23 16:16:22,Muskegon,US,United States,107.4.89.13,43.2342,-86.2484,Michigan,-04:00,49440
3,Not a problem,Never,Not at all concerned,5857,2015-12-24 13:39:33,Muskegon,US,United States,107.4.89.13,43.2342,-86.2484,Michigan,-04:00,49440
5,A very serious problem,In the next few years,Not too concerned,17492,2016-03-23 15:49:32,Augusta,US,United States,141.114.231.202,44.306000000000004,-69.7822,Maine,-04:00,04333
6,Not a problem,Never,Not at all concerned,17491,2016-03-23 15:36:34,Wichita,US,United States,73.217.247.128,37.6922,-97.3375,Kansas,-05:00,67147
7,A very serious problem,Now,Very concerned,17490,2016-03-23 15:32:26,Mill Valley,US,United States,24.5.101.133,37.906,-122.545,California,-07:00,94941
8,Not a problem,Never,Not at all concerned,17489,2016-03-23 14:44:04,Butler,US,United States,24.112.239.82,40.8585,-79.9025,Pennsylvania,-04:00,16001
9,A very serious problem,In the next few years,Very concerned,17488,2016-03-23 14:40:10,Phoenix,US,United States,198.60.169.252,33.5114,-112.069,Arizona,-07:00,85012
11,A very serious problem,In the next few years,Somewhat concerned,727,2015-12-10 14:37:02,Phoenix,US,United States,198.60.169.252,33.5114,-112.069,Arizona,-07:00,85012
13,A very serious problem,Now,Somewhat concerned,17487,2016-03-23 14:30:02,Lake Worth,US,United States,216.114.94.32,26.6079,-80.1749,Florida,-04:00,33467
14,A very serious problem,In the next few years,Somewhat concerned,17486,2016-03-23 14:00:40,Norfolk,US,United States,74.98.162.180,36.8468,-76.2852,Virginia,-04:00,23501
15,A somewhat serious problem,Now,Somewhat concerned,17485,2016-03-23 13:59:26,Washington,US,United States,66.87.128.145,38.8951,-77.0364,District Of Columbia,-04:00,20001
16,A very serious problem,Now,Very concerned,17484,2016-03-23 13:46:45,San Francisco,US,United States,67.188.171.52,37.7749,-122.419,California,-07:00,94102
17,A not too serious problem,Never,Not at all concerned,17483,2016-03-23 13:34:56,Gloversville,US,United States,24.105.161.26,43.0528,-74.3438,New York,-04:00,12078
18,A somewhat serious problem,Not for many years,Not too concerned,17482,2016-03-23 13:29:52,Mooresville,US,United States,68.71.191.121,35.5757,-80.8191,North Carolina,-04:00,28115
19,A somewhat serious problem,Not for many years,Not at all concerned,17481,2016-03-23 13:25:28,Mescal,US,United States,70.209.74.188,31.9901,-110.435,Arizona,-07:00,85602
20,A very serious problem,Now,Very concerned,17480,2016-03-23 11:54:52,Union,US,United States,131.125.82.22,40.6949,-74.2704,New Jersey,-04:00,07083
21,A not too serious problem,Never,Not at all concerned,17479,2016-03-23 11:50:11,Delaware,US,United States,74.140.68.248,40.2987,-83.068,Ohio,-04:00,43015
22,A not too serious problem,Never,Not at all concerned,17478,2016-03-23 11:48:09,Bradenton,US,United States,97.96.118.44,27.4989,-82.5748,Florida,-04:00,34201
23,A very serious problem,Now,Somewhat concerned,17477,2016-03-23 11:46:47,Denver,US,United States,174.51.68.29,39.7392,-104.985,Colorado,-06:00,80002
25,A very serious problem,In the next few years,Not too concerned,4941,2015-12-17 21:04:44,Denver,US,United States,174.51.68.29,39.7392,-104.985,Colorado,-06:00,80002
27,A very serious problem,Now,Very concerned,17476,2016-03-23 11:42:58,Bridgetown,US,United States,204.10.219.221,39.1531,-84.6372,Ohio,-04:00,45211
29,A very serious problem,Now,Very concerned,17473,2016-03-23 10:09:56,Bridgetown,US,United States,204.10.219.221,39.1531,-84.6372,Ohio,-04:00,45211
31,A very serious problem,Now,Very concerned,17475,2016-03-23 11:28:16,Den Haag,NL,Netherlands,77.165.250.227,52.0767,4.29861,Zuid-Holland,+02:00,2590
32,Not a problem,Never,Not at all concerned,17474,2016-03-23 10:37:55,Houston,US,United States,38.122.193.218,29.7633,-95.3633,Texas,-05:00,77001
33,A very serious problem,In the next few years,Somewhat concerned,17472,2016-03-23 06:58:09,Seri Kembangan,MY,Malaysia,60.51.53.44,3.03333,101.71700000000001,Selangor,+08:00,43300
34,A very serious problem,Now,Somewhat concerned,17471,2016-03-23 03:42:23,Fort Collins,US,United States,71.205.28.105,40.5853,-105.084,Colorado,-06:00,80521
35,Not a problem,Not for many years,Not at all concerned,17470,2016-03-23 03:30:14,Glen Burnie,US,United States,50.181.72.76,39.1626,-76.6247,Maryland,-04:00,21060
36,Not a problem,Never,Not at all concerned,17469,2016-03-23 01:55:08,Round Lake,US,United States,50.158.120.176,42.3534,-88.0934,Illinois,-05:00,60073
37,A somewhat serious problem,Now,Very concerned,17468,2016-03-23 01:47:08,Paranaque,PH,Philippines,112.209.186.148,14.4667,121.01700000000001,Metro Manila,+08:00,1612
38,A not too serious problem,Never,Not at all concerned,17467,2016-03-23 00:35:00,Dulles,US,United States,108.56.135.35,38.9517,-77.4481,Virginia,-04:00,20101
39,A very serious problem,Not for many years,Not too concerned,17466,2016-03-23 00:10:07,Houston,US,United States,45.23.131.168,29.7633,-95.3633,Texas,-05:00,77001
40,A not too serious problem,Now,Not too concerned,17465,2016-03-22 23:52:12,Orofino,US,United States,50.37.83.125,46.4794,-116.255,Idaho,-07:00,83544
41,A not too serious problem,Never,Not at all concerned,17464,2016-03-22 23:36:38,Tempe,US,United States,70.209.73.208,33.4148,-111.90899999999999,Arizona,-07:00,85280
42,A somewhat serious problem,In the next few years,Not too concerned,17463,2016-03-22 23:36:26,Albuquerque,US,United States,174.56.72.214,35.0845,-106.65100000000001,New Mexico,-06:00,87101
43,A very serious problem,Now,Somewhat concerned,17462,2016-03-22 23:04:04,Pattonsburg,US,United States,98.22.178.195,40.0544,-94.1247,Missouri,-05:00,64670
44,A very serious problem,Now,Very concerned,17461,2016-03-22 22:52:33,Meadville,US,United States,24.154.66.184,41.6414,-80.1515,Pennsylvania,-04:00,16335
45,A not too serious problem,Never,Very concerned,17460,2016-03-22 22:43:59,Petersfield,JM,Jamaica,184.170.7.18,18.2616,-78.0712,Westmoreland,-05:00,JMDWD15
46,A very serious problem,In the next few years,Not at all concerned,17459,2016-03-22 22:39:11,Kolkata,IN,India,49.14.127.76,22.5697,88.3697,West Bengal,+05:30,700155
47,Not a problem,Never,Not at all concerned,17458,2016-03-22 22:33:16,Harrisonburg,US,United States,98.249.39.153,38.4496,-78.8689,Virginia,-04:00,22801
48,A very serious problem,Now,Very concerned,17457,2016-03-22 22:07:28,Sarasota,US,United States,174.58.5.174,27.3364,-82.5306,Florida,-04:00,34230
49,A very serious problem,Now,Very concerned,17456,2016-03-22 21:58:30,Blountville,US,United States,76.7.190.109,36.5332,-82.3268,Tennessee,-04:00,37617
50,Not a problem,Never,Not at all concerned,17455,2016-03-22 21:32:56,Russell,US,United States,8.36.242.228,38.8953,-98.8598,Kansas,-05:00,67665
51,A very serious problem,In the next few years,Somewhat concerned,17454,2016-03-22 21:31:43,Oak Lawn,US,United States,208.54.80.131,41.7109,-87.7581,Illinois,-05:00,60453
52,A not too serious problem,In the next few years,Not too concerned,17453,2016-03-22 21:23:21,Laramie,US,United States,129.72.133.121,41.4219,-105.60600000000001,Wyoming,-06:00,82071
53,A very serious problem,Now,Somewhat concerned,17452,2016-03-22 21:23:20,Los Angeles,US,United States,173.58.196.104,34.0522,-118.244,California,-07:00,90001
54,A very serious problem,Now,Very concerned,17451,2016-03-22 20:52:27,Laurel,US,United States,63.153.22.186,45.6691,-108.772,Montana,-06:00,59044
55,A somewhat serious problem,In the next few years,Not too concerned,17450,2016-03-22 19:51:54,Sligo,IE,Ireland,78.18.221.216,54.2697,-8.469430000000001,Sligo,+01:00,D17
56,A very serious problem,Now,Very concerned,17449,2016-03-22 19:41:11,Cambridge,US,United States,76.24.18.154,42.3751,-71.1056,Massachusetts,-04:00,02138
57,Not a problem,Never,Not at all concerned,17448,2016-03-22 19:40:11,Sterling Heights,US,United States,76.219.120.21,42.5803,-83.0302,Michigan,-04:00,48310
58,A very serious problem,In the next few years,Somewhat concerned,17447,2016-03-22 19:36:18,Exira,US,United States,198.45.168.40,41.5917,-94.8783,Iowa,-05:00,50076
59,A very serious problem,Now,Very concerned,17446,2016-03-22 19:15:37,Port Townsend,US,United States,174.24.240.230,48.117,-122.76,Washington,-07:00,98368
60,A not too serious problem,Not for many years,Not at all concerned,17445,2016-03-22 19:00:30,Kennesaw,US,United States,99.47.121.205,34.0234,-84.6155,Georgia,-04:00,30144
61,A not too serious problem,Never,Not at all concerned,17444,2016-03-22 18:59:08,Azusa,US,United States,99.113.211.43,34.1336,-117.90799999999999,California,-07:00,91702
62,A not too serious problem,Not for many years,Not at all concerned,17443,2016-03-22 18:57:01,Dayton,US,United States,76.243.44.129,39.7589,-84.1916,Ohio,-04:00,45390
63,Not a problem,Never,Not at all concerned,17442,2016-03-22 18:49:07,Everett,US,United States,67.183.27.63,47.979,-122.20200000000001,Washington,-07:00,98201
64,Not a problem,Never,Not at all concerned,17441,2016-03-22 18:48:20,Henderson,US,United States,24.253.9.75,36.0397,-114.98200000000001,Nevada,-07:00,89002
65,A very serious problem,In the next few years,Somewhat concerned,17440,2016-03-22 18:33:20,San Diego,US,United States,72.220.176.201,32.7153,-117.15700000000001,California,-07:00,92101
66,A very serious problem,Now,Somewhat concerned,17439,2016-03-22 18:29:10,New York City,US,United States,108.62.49.17,40.7397,-74.0008,New York,-04:00,10011
67,A very serious problem,Now,Very concerned,17438,2016-03-22 18:09:12,Grass Valley,US,United States,108.249.91.196,39.2191,-121.061,California,-07:00,95945
68,A very serious problem,Now,Very concerned,17437,2016-03-22 18:05:14,Tucker,US,United States,98.242.78.198,33.8545,-84.2171,Georgia,-04:00,30084
69,A very serious problem,Now,Somewhat concerned,17436,2016-03-22 18:01:58,San Francisco,US,United States,173.164.157.77,37.7749,-122.419,California,-07:00,94102
70,A not too serious problem,Not for many years,Not at all concerned,17435,2016-03-22 18:00:42,Findlay,US,United States,98.30.1.249,41.0442,-83.6499,Ohio,-04:00,45839
71,Not a problem,Never,Not at all concerned,17434,2016-03-22 17:30:16,Quincy,US,United States,50.165.183.171,39.9356,-91.4099,Illinois,-05:00,62301
72,A not too serious problem,Now,Not too concerned,17433,2016-03-22 17:24:31,McGregor,US,United States,50.33.48.52,46.7078,-93.2969,Minnesota,-05:00,55760
73,A not too serious problem,Not for many years,Somewhat concerned,17432,2016-03-22 17:08:15,Rochester,US,United States,151.213.49.198,43.1548,-77.6156,New York,-04:00,14602
74,A very serious problem,Now,Very concerned,17431,2016-03-22 16:57:00,Thelwall,GB,United Kingdom,86.171.121.237,53.3825,-2.52734,England,+01:00,WA4 2JG
75,A somewhat serious problem,Now,Somewhat concerned,17430,2016-03-22 16:15:28,Sweetwater,US,United States,131.94.186.20,25.7634,-80.3731,Florida,-04:00,33144
